Piece Title,Artist Gender,Artist of Color,Figure of Color,"If yes, only figures of color?",Subject Gender,Plaque Description
John Slemmons Stevenson,Man,No,No,,Man,"Selfies are made at the click of a button today, but creating a self-portrait in the 19th century required both patience and artistic ability. Self-portraits by untrained artists are rare,
The third painting that I ever
and several features make this one by John Stevenson extraordinary. An inscription on the back (right) is signed by the artist.
Stevenson was born at Newtown (now Pocomoke City) on the Eastern Shore of Maryland. At a young age, he went to Baltimore to learn silversmithing from Samuel Kirk, then to New York City to study watchmaking. At 20, he settled
in Snow Hill, Maryland. Over the course of his lifetime, Stevenson was also a merchant, a farmer, and a postmaster. He engraved, sketched, cut silhouettes, painted political banners and portraits, and fashioned furniture as well. Their daughter described Harriet ""as a woman of excellent judgement... She was a close observer and had a remarkable ability to judge character"""
Harriet Gore Stevenson,Man,No,No,,Woman,None
Anne McClelland Walke Williamson,Man,No,No,,Woman,"Yes, these are the same subject by the same artist, Cephas Thompson. Today we think nothing of printing multiple photographic portraits, but we don't expect to find original portraits that look so alike unless one is a copy or even a forgery. That is not the case here. The Williamsons commissioned at least five portraits of themselves from Thompson, most likely as gifts for family members. The couple had at least eight children together and three from Thomas' first marriage.

A banker and local politician, Thomas Williamson considered himself a patron of the arts. In addition to Thompson, the Williamsons patronized other American artists, including
William James Hubard and William Dunlap, the noted artist-diarist who described in an 1819 visit to the couple seeing multiple landscapes, copies, and ""some dozen"" portraits by Thompson.
A register of the artist's Norfolk subjects, presumably written in the order that they were painted, lists the canvas of ""Mrs. Williamson"" before the smaller panel picture. The dramatic artist's changes in the subject's drape and the contour lines of her figure, seen only in the canvas under a microscope, also suggest the larger format was the earlier likeness."
Thomas Williamson,Man,No,No,,Man,None
Thomas Jefferson,Unknown,,No,,Man,None
Marquis de Lafayette,Man,No,No,,Man,"In 1824, President James Monroe invited the aging Marquis de Lafayette, last living general of the American Revolution, to visit the United States. More than 40 years after the war's end, Lafayette remained a hero in American eyes. His ""triumphal return"" included all 24 states and he was met with great fanfare at each stop. In September, Lafayette was received by Monroe at the White House. The following summer the two journeyed to Oak Hill, the president's
Loudoun County, Virginia, home.
The early history of this portrait suggests that Lafayette commissioned it himself while in Washington, D.C.
He chose London-trained Samuel Lovett Waldo, a well-known New York City artist and founding member of the National Academy of Design. Intended as a gift for Monroe, Lafayette likely presented the painting during his visit to Oak Hill. It purportedly hung in the Monroe family home and descended to the president's daughter, Maria Monroe Governeur."
Mary Ann Hutchinson Kern Grant,Man,No,No,,Woman,"Like family photographs, paintings were seldom inscribed with the subject's name. Contemporaries recognize the sitter, but subsequent generations may lose his or her identity, as happened here. The best evidence suggests that the striking woman in this Kentucky portrait is the former Mary Ann Hutchinson. At the time of her 1836 marriage to Robert Grant, she lived in Jefferson County, having moved there from nearby Indiana.
Mary Ann's portrait is the work of Patrick Henry Davenport, reportedly inspired to paint when he watched Kentucky portraitist Asa Park fashion a likeness of his brother. Davenport's most productive period, 1820-1840, included work in his native Kentucky and adjacent states, but investment in the Crab Orchard Springs resort occupied his time in the 1840s. In 1853, Davenport sold the spa and moved to Lawrence County, Illinois where he resumed painting, using the new Ohio and Mississippi Railroad to travel for portrait commissions."
Elizabeth Gilmore Sherlock,Man,No,No,,Woman,"Fifteen years after she was portrayed as a child by Charles Wilson Pais, portatist Gilbert Stuart painted Elizabeth Gilmor as a young woman. By this time, she was married to
John Sherlock.
This painting likely dates to 1803 when the artist, working in Washington D.C., aslo painted a portrait of her father Robert Gilmor, Sr. Great patrons of the arts, the Gilmors, on an earlier trip to Philadelphia, visited the artist's studio where they saw Stuart's full-length portrait of George Washington commissioned by Gilmor's business partner. In 1805, Stuart settled in Boston for the remainder of his career.
One of America's most celebrated portraitists, Stuart is known today for his likenesses of George Washington, of which he produced nearly one hundred.
Washington's iconic status led to a huge demand for his image and Stuart was happy to oblige. Patrons such as the Gilmors were impressed by the artist's connections and eagerly sought their likenesses by him."
Louisa Airey Gilmor with Jane and Elizabeth,Man,No,No,,Woman,"Nine-year-old Elizabeth Gilmor stands with her mother and sister. Young Jane holds her fashionably dressed doll, while Elizabeth has her hand on ""Children's Friend,"" a volume of morally instructive short stories. The book highlights the parents' concern for their girls education and may reflect Mrs. Gilmor's religious upbringing.
Baltimore merchant Robert Gilmor, Sr. commissioned preeminent artist Charles Willson Peale to paint portraits of himself and his wife and daughters. Already known for his numerous likenesses of George Washington, Peale visited Baltimore from his home in Philadelphia. The receipt for this painting survives and shows that the artist finished both works in January 1788 at the cost of about £31 pounds. Years later, Gilmor bequeathed to Elizabeth, ""the Portraits of her mother and myself Painted by Peale."""
Sarah Martin Lewis King Claiborne,Man,No,No,,Woman,"Thomas Claiborne, Jr. and Sarah Martin Lewis King Claiborne had their portraits painted by Ralph E. W. Earl around 1825. Thomas, a noted Tennessee lawyer and politician, served on General Andrew Jackson's staff during the Creek War in 1813-1814. Born in Virginia, Thomas moved to Tennessee in 1807. Sarah's parents were also from Virginia, but moved west the year she was born. By their 1812 marriage, the couple were well-respected members of Nashville society. Of his many accomplishments, Thomas is most noted as being the first Grandmaster of the Grand Lodge of Tennessee.
The close relationship between artist Ralph E. W. Earl and Andrew Jackson provided Earl with multiple commissions from the General's political colleagues and military associates. Claiborne's service with Jackson during the War of 1812 and his time as a member of Congress made him an ideal subject for Earl. The artist completed the couple's portraits several years before his move to Washington, D.C."
Thomas Claiborne Jr,Man,No,No,,Man,None
The Artist's Children,Man,No,No,,Both,"This charming work depicts sitters close to artist Chester Harding's heart-his four eldest children. It was done about 1826 to commemorate the reunion of his family following
a three-year separation while he worked abroad.
As a young man, Harding pursued a variety of trades until an itinerant artist inspired him to paint his wife's likeness. Soon after, in 1817, the Massachusetts native moved to Paris, Kentucky, where he heard of a local artist's success in portraiture. Until then largely self-trained, Harding soon found an eager clientele and reportedly painted 100 canvases in six months. He used the earnings for formal training.
One of Harding's most notable works is an 1820 portrayal of Daniel Boone (right). Undertaken
just weeks before Boone's death at 86, it is the only known portrait of the Kentucky frontiersman taken from life. The artist later traveled to England and Scotland, where he exhibited at the Royal Academy and rendered this heartwarming portrayal of his children."
Christopher Pinchbeck,Man,No,No,,Man,"As access to painted portraiture expanded with the rising middle class, tradespeople and artisans commissioned likenesses.
Christopher Pinchbeck the elder (1670-
1732) was a well-known English watchmaker, toyman, and maker of automata-self-operating machines. He exhibited his life-size automata alongside a slight-of-hand artist at London Fairs.
One display involved a machine that ""causes a Tree to grow out of a Flower-Pot on the Table, which blossoms and bears ripe Fruite in a Minute."" He became a household name through his invention of a copper and zinc alloy still known today as ""Pinchbeck"" that resembles gold in appearance but not in price. His son followed in his footsteps and became clockmaker to King George III."
"Mary Isabella, Duchess of Rutland",Man,No,No,,Woman,"Prints of beautiful, aristocratic women served as models of fashion, virtue, and beauty.
Once called ""the most beautiful woman in England,"" the Duchess of Rutland was famous as a society hostess who played a major role in strengthening her family's political position. Her portrait was engraved for a series called ""Beauties of the Present Age,"" comprising large-scale mezzotints that appealed to wealthy print collectors. Most painted portraits were intended for a closed circle of family and friends, but prints circulated far and wide and across social boundaries. They also inspired new painted portraits for those who sought to resemble England's elite. Mary Isabella's uncle, Norborne Berkeley, 4th Baron de Botetourt, served as Royal Governor of Virginia from 1768 until his death in Williamsburg in 1770."
Jacob Bates the Famous English Horse Rider,Man,No,No,,Man,"Jacob Bates was a talented rider who performed dramatic feats of horsemanship.
After taking his daring equestrian act through Europe, Bates (d. 1793) arrived in the American colonies where he entertained crowds in Philadelphia, New York, Boston, and Newport between 1772 and 1774. He married a wealthy heiress in Philadelphia where he established himself as a horse breeder, trainer, and riding instructor. This print may have been a souvenir of his performances."
"The Famous George Taylor, the Bruiser",Man,No,No,,Man,"George Taylor was one of the famous prize fighters of his time.
Previously seen as violent and objectionable, boxing became fashionable and respectable in 1740s England. Taylor (1714-1757) not only fought in the ring but also ran a boxing booth in Tottenham Court. He closed it after Jack Broughton, another prominent boxer, opened his state-of-the-art New Amphitheatre in London. Broughton's facility had a stage, box seats, a pit, and galleries. Taylor initially opposed Broughton's Amphitheatre by preventing his boxers from fighting there but eventually gave in and fought there himself."
"Tomochachi Mico or King of Yamacraw and Tooanahowi his Nephew, Son to the Mico of the Etchitas",Man,No,Yes,Yes,Man,"Native Americans Tomochachi Mico, Yamacraw leader, and his nephew, Tooanahowi traveled to England to meet the Trustees of Georgia.
Tomochachi Mico negotiated with James Oglethorpe, founder of the British colony of Georgia, over the land that would become Savannah, Georgia. Accompanying Oglethorpe to London, Tomochachi had the chance to enhance his authority and negotiate favorable terms for trade and resources. Although the Yamacraw subjects wore English garmets while in London, Verelst chose to paint them in deerskins, the basis of the Creeks' trade with Europeans. Tooanahowi holds an eagle brought by the delegation as a gift to the king."
Loum Kiqua,Man,No,Yes,Yes,Man,"This English print was a strategic move in a trade war to gain access to Chinese goods.
Loum Kiqua, a Chinese merchant, traveled to Lisbon, Portugal, around the time of the Great Iberian earthquake of 1755. Though he survived the incident, the English makers of this print claim he suffered ""many hardships & ill treatments from the Portuguese."" The following year, he arrived in London where he had an audience with the King and royal family. The English East India Company, which oversaw trade in Asia and India, ""kindly received and generously accommodated"" him aboard one of their ships for his return to Guangzhou (Canton). This English print could have been sent with Loum Kiqua to make a good impression as European powers
competed for access to restricted Chinese markets. An inscription in ink at the lower margin of the print reads ""very like"" suggesting that a contemporary owner might have seen Loum Kiqua in person."
Mrs Sarah Porter Queen of the Touters at Tunbridge Wells,Man,No,No,,Woman,"A ""touter"" is someone who zealously tries to get customers.
Tunbridge Wells, an English spa town, was a popular vacation destination for fashionable society in the early 18th century. Visitors would have been familiar with Sarah Porter (d. 1762) and her book of subscribers whether they liked it or not. Beau Nash, self-appointed master of ceremonies, had Porter collect subscriptions to the spa and make sure that people paid.
She became a fixture on the scene, notable for her persistence and art of persuasion. She claimed to know everyone and could shake down attendees, both rich and poor."
Mrs Susanna Cent-Livre,Man,No,No,,Woman,"Susanna Centlivre dazzled the English-on and off stage-as a poet, playwright, and actress.
Centlivre (1669-1723) was known for writing witty and daring comedies.
In the preface of one of her plays, she discussed the challenges of being a female writer, noting that plays published anonymously are ""approv'd by every Body"" until it is revealed to be by a woman. ""Thus they alter their judgement, by the Esteem they have for the Author, tho the Play is still the same."" In 1736, Centlivre's play The Busie Body was performed in Williamsburg by a troupe of amateur actors. English engraver Peter Pelham moved to Boston, where he found it difficult to practice his trade because of competition with imported English prints. He trained his step-son, John Singleton Copley (later a famed American artist), in the art of engraving."
Colley Cibber,Man,No,No,,Man,"Colley Cibber was a famous English actor, playwright, and Poet Laureate.
Cibber's (1671-1757) memoir, An Apology for the Life of Colley Cibber, fed a public eager to learn every detail of the actor's life. His autobiography became a model for other actors and authors who profited from their public lives by writing books. These volumes often contained portrait prints that further solidified an actor's fame."
Mrs Clive in the Character of the Fine Lady in Lethe,Man,No,No,,Woman,"Kitty Clive was a successful English actor known for her comedic performances.
Actors were sometimes represented in paintings and prints in the costumes and poses of their famous characters. This figure is based on an engraving that shows Clive (1711-1785) as the ""Fine Lady,"" one of her most celebrated roles from David Garrick's play Lethe, or Aesop in Shades. Although Clive never came to the colonies, performances of Lethe appeared in New York, Philadelphia, Annapolis, and Charleston. Prints were not the only way to own a representation of your favorite celebrity. They served as inspiration for decorative arts like the bed curtain depicting characters from Lethe in this image."
Mr. Alexander Pope,Man,No,No,,Man,"Over the course of his life, poet and satirist Alexander Pope's portrait was painted 60 times.
Paintings of Pope (1688-1744) and the engravings that reproduced them mainly circulated within a closed network of elite acquaintances and patrons. He criticized the pursuit of fame and the fascination that celebrity held for the public, yet he played an active role in the publication of his image by carefully selecting the engravings used in the front of his books.
Pope's notoriety and the availability of his image actually increased after his death. Many of Pope's works are still quoted today, including one of his most famous lines: ""To err is human; to forgive, divine."""
Godfridus Keller Eques,Man,No,No,,Man,"A quality engraving promoted the original painter's career as well as the engraver's.
Sir Godfrey Kneller (1646-1723), Principal Painter to the King, was one of the most famous artists in England for three decades. He benefited from his working relationship with engraver John Smith (ca. 1675-1751), who was an expert in mezzotint, a technique used to create prints with velvety tones. Most of the portraits in this exhibition were made using this technique. Half of the 280 mezzotints engraved by Smith were after works by Kneller."
Benjn West ESQR,Man,No,No,,Man,"Painters collaborated with engravers to have their paintings made into prints.
Benjamin West (1738-1820), an American-born painter, spent most of his career in England and trained many visiting American artists. Known for historical scenes created around the time of the American Revolution, West was appointed historical painter for the royal court by King George III. West completed at least nine self-portraits. This one included his son Raphael Lamar West. Mezzotint, considered the best medium for reproducing paintings, is an engraving technique in which the entire surface of the copperplate is textured with a serrated tool.
The textured areas hold the ink. The image's definition and shading are achieved by burnishing or smoothing the textured surface to create different tones. The smoother the area, the lighter the tone."
Sa Ga Yean Qua Rash Tow,Man,No,Yes,Yes,Man,"In 1709, the arrival of a diplomatic envoy of Mohawk and Mahican representatives in London caused a sensation, inspiring fashion trends, plays, and ballads.
Several artists made portraits of the delegation, dubbed ""The Four Indian Kings."" These were engraved in various sizes and at differing prices. Queen Anne commissioned full-length portraits of the men. Engravers quickly published expensive mezzotint copies and sent them
back to Haudenosaunee (Iroquois) leaders in New York. Colonial centers of government received copies. Those in Williamsburg were displayed in the Council Chamber at the Capitol."
E Tow O Koam,Man,No,Yes,Yes,Man,None
The Reverend Mr George Whitfield,Man,No,No,,Man,"Revivalist preachers utilized print portraits to promote their religious doctrine.
George Whitefield's (1714-1770) fervent evangelical Methodist sermons inspired a religious revival in Great Britain and British North America.
Achieving fame in his mid-20s, Whitefield gave expressive, theatrical sermons that enraptured his audiences and drew large crowds. Colonists eagerly anticipated his arrival, and newspapers tracked his movements from New England to Georgia. Arriving in Williamsburg in December 1739, Whitefield preached to a small crowd at Bruton Parish Church. Soon after,
400 printed copies of his remarks promptly sold out."
His Excellency Arthur Dobbs ESQR,Man,No,No,,Man,"Objects portrayed with a sitter reveal details about the person's status and interests.
This print emphasizes Arthur Dobbs's (1689-1765) role as the Governor of North Carolina, depicting him with a map of the colony, a globe, and a compass. A man of many interests, Dobbs was a colonial administrator, amateur naturalist, and dedicated seeker of the Northwest Passage to India. He owned some 400,000 acres of North Carolina land."
Mr Gibbons and Mrs Gibbons,Man,No,No,,Both,"Engravings were a portable way of sharing portraiture.
Following the example of their aristocratic clients, successful artists and artisans such as the sculptor and carver Grinling Gibbons (1648-1721) also sat for portraits. Gibbons and his workshop produced intricate, lifelike wood carvings that decorated royal palaces and grand country houses. His successful career spanned the reigns of five monarchs. This double portrait of Gibbons and his wife, Elizabeth, shows the couple as wealthy and comfortable. Though the original oil portrait is lost, this print offers a glimpse into how the couple chose to be portrayed.
The 6th Duke of Somerset employed Grinling Gibbons to decorate the Carved Room at his home, Petworth. This three-dimensional limewood carving of musical instruments is an example of his work."
Maria (Queen Mary I),Man,No,No,,Woman,"Royal portraits were not only reminders of power, but expressions of loyalty by those who owned them. This elaborate portrait of Queen Mary (1662-1694) was considered a masterwork of engraving affordable to only a few. Yet the monarch's portrait also appeared on everyday objects such as coins, mugs, dishes, and spoons. Fragments from a range of vessels bearing Mary's likeness or initials have been found archaeologically at sites in Maryland, Massachusetts, and at nearby Jamestown. Reuniting Britain after a tumultuous period, Queen Mary Il and her husband, King William Ill, jointly ruled Britain upon taking the throne in 1688, a moment known as the Glorious Revolution. The nearby College of William and Mary still bears the names of the monarchs who issued the charter that established the school in 1693."
"Gilbert du Motier, Marquis de Lafayette ",Man,No,Yes,No,Man,"Over time, viewers of this print have interpreted the scene from new perspectives.
This print of the Marquis de Lafayette (1757-1834) was originally created as a companion to a 1781 image of George Washington, emphasizing Lafayette's close relationship with the general. In later years, the figure of the Black groom has been associated with James Lafayette (James Fayette), an enslaved double agent who served under the Marquis and provided valuable intelligence for the Siege of Yorktown. In 1786, he successfully petitioned for his freedom and changed his surname to ""Fayette"" likely in honor of the Marquis. He gained fame when the two men shared a heartfelt reunion in 1824 during the Marquis de Lafayette's well-publicized tour of the United States. Fayette's portrait was painted soon after his reunion with the Marquis.
A printed broadside was published with a copy of that portrait and the Marquis de Lafayette's testimony of Fayette's service."
George Washington,Man,No,No,,Man,"Although this portrait bore little resemblance to George Washington, that did not concern a public eager to have an image of the American General. English print publishers were quick to profit from the public's interest in news of the war in America. They issued a series of portraits of mainly American officers, including this one allegedly depicting General George Washington (1732-1799). Although the print reads ""Drawn from life by Alex.! Campbell of Williamsburgh in Virginia,"" the artist's name is fictitious; the true artist's identity remains unknown. Washington wrote to Colonel Joseph Reed to thank him for sending a copy of the print, noting in January 1776 that, ""Mr. Campbell whom I never saw to my knowledge, has made a very formidable figure of the Commander-in-Chief, giving him a sufficient portion of terror in his countenance."""
Simon Lord Lovat,Man,No,No,,Man,"Artist William Hogarth sketched Simon Fraser, 11th Lord Lovat, as he was on his way to stand trial in London. Lord Lovat (ca. 1667-1747) was a Jacobite leader arrested and charged with treason after the defeat of Scottish forces at the Battle of Culloden, the decisive battle of the 1745 Jacobite rising. Parliament, the royal family, and the nobility attended his trial. The public spectacle lasted seven days. Convicted of treason, Lovat was executed before a crowd in April 1747. In 1758, Virginian Joseph Ball wrote from London to his friend, Benjamin Waller, in Williamsburg, ""I... send you a print of Lord Lovat, which is said to be very like him."" Ball sent the print even though Lovat had been executed for treason over ten years earlier."
Benjamin Lay,Man,No,No,,Man,"With the rise of the abolitionist movement in the early 19th century, printers republished an original 1760s copperplate of deceased radical abolitionist, Benjamin Lay.
A Quaker zealot, Lay’s (1682-1759) work and reputation as an abolitionist agitator led to disownment from his Meeting in England. He was similarly barred from
joining the Philadelphia Meeting. Lay stood a little above four feet tall and lived in a cave-like dwelling. He wore simple clothes, ate only fruits and vegetables, traveled long distances on foot, and boycotted products made by enslaved people. To shame slave-owning Quakers, Lay staged theatrical protests arguing that slavery and Quakerism were incompatible. In one of these protests, Lay, dressed in military uniform, plunged a sword into a book rigged with fake blood, and sprinkled the blood onto slave-owning Quakers.
This portrait might have been commissioned by Benjamin Franklin's wife, Deborah. Franklin had published Lay's book."
Tom Molineaux,Man,No,Yes,Yes,Man,"Tom Molineaux is thought to be the first American prizefighter.
Trained as a young boy by his father in the brutal and sometimes deadly sport of bare-knuckle boxing, Molineaux (1784-1818) became a boxing champion. He was born enslaved in Maryland or Virginia. In America, enslavers placed wagers on enslaved fighters, sometimes promising them their freedom and winnings. As the result of a successful match, Molineaux secured his freedom and used his prize money to move to England where he became a celebrity in the boxing circuit. This print, published in The Sporting Magazine, was the source of a transfer-printed jug created to commemorate Molineaux's famous matches with All England Champion Tom Cribb."
William Prentis,Man,No,No,,Man,"William Prentis was taught to write and keep accounts at a London charity school. In 1715, still in his teens, the boy was apprenticed to merchant Archibald Blair in faraway Williamsburg. At Blair's death in 1733, Prentis was managing the entire operation. He soon bought enough of the business to warrant changing its name to William Prentis & Co., and by 1740 had erected the brick store that survives today. Artist Charles Bridges typically painted large, sumptuous portraits of the region's gentry. By contrast, his likeness of Prentis is small and relatively plain. As such, it was considerably cheaper to produce and may reflect the subject's humble origins."
Jupiter and Europa,Man,No,No,,Both,"Artist Matthew Pratt's struggle to establish himselt in his native Philadelphia was boosted by trips to England in 1764 and 1770. Probably it was during the second visit that he painted this copy of Guido Reni's ca. 1636 depiction of Jupiter disguised as a bull and cavorting with his consort, Europa. This painting is one of several old master copies Pratt exhibited at Williamsburg's Kings Arms Tavern in 1773. He had limited success with sales. Neither Jupiter and Europa nor his Portrait of St. Jerome after Antonio da Correggio sold in Williamsburg: Pratt still owned both at his death in 1805."
Mary Blaikley Stith,Man,No,No,,Woman,"Mary Stith was the only child of Williamsburg watchmaker
William Blaikley and Catharine Kaidyee Blaikley, a prominent midwife credited with delivering ""upwards of three Thousand Children."" In 1743, Mary wed landowner Griffin Stith and although the couple moved to the Eastern Shore of Virginia, they maintained ties to Williamsburg. Mary was buried at Williamsburg's Bruton Parish Church in 1784. William Dering's portrait of Mary's mother-in-law, Elizabeth Buckner Stith, is his only known signed work and the basis of other attributions to him. In addition to painting, Dering taught drawing and dancing. He owned and lived in the Thomas Everard House on Palace Green from 1742 to 1749, and likely kept his studio there as well."
Probably Frances Dandridge,Man,No,No,,Woman,"Frances Dandridge was the daughter of John Dandridge, Jr. and Frances Jones Dandridge. The
couple and their eight children lived at Chestnut Grove, a plantation on the Pamunkey River in nearby New Kent County. Their eldest child, Martha, sat for artist John Wollaston in 1757. Frances was then about 12 years old and was likely painted at the same time. She died the next year. John Wollaston arrived in America from England in 1749 and worked extensively from New York to South Carolina. Likely the first studio-trained artist to paint in the southern colonies, he completed over 100 likenesses of the Virginia gentry."
George Purdie,Man,No,No,,Man,"Scottish immigrant George Purdie and his wife, Mary Robinson Purdie, lived in Smithfield, about 20 miles down the James River from Williamsburg. A merchant, George represented the Glasgow firm of Andrew, Archibald, & Buchanan. Mary was the daughter of wealthy landowners in adjacent York County and the sister-in-law of Williamsburg mayor Thomas Everard.
The Purdie portraits were rendered by John Durand, a London-trained itinerate artist who painted in several southeastern Virginia locales from the 1760s to about 1782.
During his stay in Williamsburg, Durand likely lived and painted at the Grissell Hay Lodging House, still standing on Market Square."
Mary Robinson Purdie,Man,No,No,,Woman,None
Evelyn Byrd,Unknown,,No,,Woman,None
Sarah Waters Meade,Man,No,No,,Woman,"The only child of William and Sarah Prentis Waters, Sarah Waters was raised in her parents Duke of Gloucester Street home. Her father was a merchant, as was her maternal grandfather, William Prentis, whose portrait is to your left. Sarah married David Meade, Jr., in 1774 and they moved to nearby Prince George County. In 1796 they resettled permanently on a grand estate in Kentucky. Scottish artist Cosmo Alexander painted this portrait during his travels through Virginia in 1770-1771. Arriving in America about 1765, he worked in New York, New Jersey, Pennsylvania, and Rhode Island before venturing south. A teenaged Gilbert Stuart became his student in Rhode Island and traveled with him to Virginia and Scotland."
Anne Byrd,Unknown,,No,,Woman,None
Portrait of Captain Patrick Campbell,Unknown,,No,,Man,None
Portrait of Captain Richard Bayly,Man,No,No,,Man,None
Portrait of Clarendon Dix,Unknown,,No,,Man,None
Portrait of Nicholas-Charles Bochsa,Man,No,No,,Man,None
Portrait of Miss Hallam as Imogen,Man,No,No,,Woman,"Nancy Hallam, the most famous actress and singer in early America, was a member of the American Company of Comedians.
They played the theater circuit along the Atlantic Seaboard, performing ballad operas, concerts, and plays in New York, Annapolis, Williamsburg, and other important cities.
Charles Willson Peale depicted Nancy Hallam portraying the famous ingénue Imogen in Cymbeline, an opera adapted from William Shakespeare's play of the same name. This is the earliest known representation of an American stage production. The painting shows Hallam in what was known as a ""breeches role"" since Imogen was hiding her identity by dressing as the male servant Fidele. She performed to rave reviews. “[Hallam] exceeds my utmost idea. Such delicacy of manner! Such classical strictness of expression! The musick of her tongue! The Vox Liquida, how melting! ... How true and thorough her knowledge of the character she personated! Her whole form and dimensions how happily convertible, and universally adapted to the variety of her part.”
Maryland-born artist Peale studied with Benjamin West in London before returning to Annapolis, where he painted this likeness. He became one of the most popular and productive American portraitists of the age."
Portrait of Ann Blake's Hansford Barraud,Man,No,No,,Woman,None
Portrait of Ann Taylor Roberts,Man,No,No,,Woman,None
Portrait of an American Indian Man,Unknown,,Yes,Yes,Man,None
George Washington,Man,No,No,,Man,"In 1779, the Pennsylvania government commissioned a portrait of George Washington for its state house (now known as Independence Hall). Charles Willson Peale was chosen to create the large, full-length likeness that would honor the general's recent military victories. In an unmistakable jab at the crown, the artist used a pose previously reserved for British monarchs, including George III. Peale's first portrait was a great success and he quickly received orders for replicas. Some were sent to allies abroad while others were installed in American public buildings. Painted in 1780, this one hung at nearby Shirley Plantation for well over a century."
James Madison,Man,No,No,,Man,"James Madison served in the Virginia House of Delegates, the Continental Congress, and as president of the United States, but is best known today for his role in drafting the Constitution.
The acclaimed artist Gilbert Stuart painted Madison's portrait several times. This example was Madison's personal property. Together with a pendant portrait of his wife, Dolley Madison, it hung at the White House during the Madison administration and later at the Madisons' Virginia home, Montpelier."
Ezra Weston Jr,Man,No,No,,Man,"Ezra and Jerusha Bradford Weston were solid New England citizens. Jerusha was a descendant of William Bradford, second governor of the Plymouth Colony.
Ezra, son of a Duxbury merchant and shipbuilder, dramatically expanded his family's business, causing Lloyds of London to describe him as the ""largest ship-owner in America."" Likely painted in conjunction with the Westons' 1793 marriage, these portraits are attributed to Duxbury physician and painter Rufus Hathaway, whose work is characterized by a vigorous linear quality and juxtaposed areas of light and dark tones."
Jerusha Bradford Weston,Man,No,No,,Woman,None
Music and Dance in Beaufort County,Man,No,Yes,Yes,Both,"Planter, civic leader, and amateur artist John Rose rendered this sensitive portrayal of enslaved men and women during a moment of free time on the Rose family's South Carolina plantation. The central figure performs a stick dance while two women at left shake shegurehs (or rattles) and men on the right play a banjar and small drum, respectively. The dance and the instruments all have West African roots, confirming that multiple cultural traditions survived the devastating diaspora.
Rose's painting is highly detailed, particularly in the execution of the faces, which are individualized and almost undoubtedly represent persons he knew."
Patrick Henry,Man,No,No,,Man,"Patrick Henry was a Revolutionary statesman, orator, and politician who enthusiastically promoted the fight for independence from Great Britain. He is best known for his impassioned declaration ""Give me liberty, or give me death!"" which helped incite the Virginia militia to prepare for war.
Henry's admirer and biographer, William Wirt, commissioned this likeness in 1815 from notable artist Thomas Sully, paying $100 for the effort. The portrait later served as the design source for the engraved frontispiece of Henry's biography."
