Piece Title,Artist Gender,Artist of Color,Figure of Color,"If yes, only figures of color?",Subject Gender,Plaque Description
Boy on Empire Sofa,Man,No,No,,Man,"John Bradley immigrated to America about 1826, previously having lived and painted in Suffolk, England. Little is known of his early life and training. On several of his American portraits he inscribed his name and the words ""from Great Britton,"" implying that he took pride in his origin and perhaps hoped his British background would appeal to customers.
The boy's rather stiff position on the edge of his seat suggests
His eagerness to finish posing. A silver-headed child-sized
walking stick and an elegant black-embroidered coat reflect his parents' affluence, while their attention to his education is confirmed by the copy of The History of Robin Hood in his hand."
The Smith Family,Man,No,No,,Both,"Family tradition credits Captain James Smith (1762-1818) with having painted this group portrait of his extended family.
He included himself, in profile, at the upper right. In 1790, the Scottish sea captain and merchant settled in Dumfries, Prince William County, Virginia, where he and his family lived on a 600-acre estate called Cedar Grove. A decline in the local shipping industry forced Smith into bankruptcy and relocation. In 1806, he opened a store in Richmond, and his family joined him there the next year.
This portrait is thought to have been painted around the time of their reunion.
Smith's unusual composition spotlights his wife, Rachel King Smith (1774-1825). She is surrounded by five of their nine children as well as her mother Rachel Westwood King McClurg.
The artist included a profile of himself in the far upper right. The two miniatures probably represent members of Rachel's extended family, William and Mary Tabb Westwood of Briarfields in Hampton, Virginia."
Mary Mattingly,Man,No,No,,Woman,"The beautiful inscription on the back of the painting to the left was written by the artist who described himself as a ""Professor of Penmanship."" In the self-portrait seen above, Arnold depicts himself with quill in hand. This highly ornamented miniature, which likely doubled as an advertisement for his work, was created almost 10 years before his portrait of Mary Mattingly. Note that at the bottom, almost lost in the details of his pen, he states his career as a ""Portrait and Miniature Painter.""
"
"Jane Payne, Archer Payne, and Martha Payne",Man,No,No,,Both,"New research identifies the artist of these three portraits as William Hodgson, a London carver and painter.178
Hodgson announced his arrival in Richmond advertising his services as a limner who under ""very moderate terms"" produced various sizes of ""portrait[s] in oil"" from full-length likenesses to portrait miniatures. Arguably Hodgson's most notable commission was fulfilled for Archer Payne, Sr. (1748-1831), and his wife, Martha Dandridge Payne (1748-1791), who lived at New Market plantation in Goochland County, Virginia. The Paynes were portrayed along with their nine surviving children, three of whom are shown here. Archer Jr. (b. 1775) is seen in the center flanked by two of his sisters, Jane
(b. 1778/9) and Martha (b. 1773) with her cat. Their mother, Martha, was the granddaughter of Alexander Spotswood, governor of Virginia from 1710-1722.
The frames on all three likenesses are original and most likely, locally made. Unlike their urban counterparts, these simple, black molded profiles rest directly on the surface of the picture where they are nailed through the front of the canvas onto the painting's wooden stretchers. This unusual method of framing deviates from standard practice where the artwork would attach to the frame from the back, underscoring the rural production of these works and the problem-solving ability of this artist."
Daniel Clarke,Man,No,No,,Man,"This portrait of a young gentleman has long been identified as
Daniel Clarke. Several men of that name and the appropriate
age lived in the region where itinerant folk artist Jacob Frymire worked. The well-dressed subject sits before a red drapery that lifts to reveal a substantial brick dwelling. These elements imply that the subject was economically successful.
Jacob Frymire is estimated to have completed over 200 portraits, largely of middle income sitters in Pennsylvania, Virginia, and Kentucky. By 1794, he was working as an itinerant painter, sometimes rendering portraits for innkeepers in exchange for his board. Later in life, Frymire kept a ""Painting Room"" on King Street in Shippensburg, Pennsylvania. After he inherited his father's substantial land holdings in 1816, the artist gradually turned his focus to his farm and family. He died in 1822."
Mrs Seth Wilkinson,Man,No,No,,Woman,"Artists did not always sign their works, but a distinctive style or key traits repeated in several paintings may suggest that the same person created all of them. When this occurs,
researchers often assign the unidentified artist a title so that his or her body of work is recognized. Twenty portraits are attributed to the artist who depicted Mrs. Seth Wilkinson, and because her likeness was among the first studied, her name became the title for the maker. The word ""limner"" means ""painter.""
Circumstantial evidence suggests that the Wilkinson Limner started painting while serving a sentence for counterfeiting at the state prison in Charlestown, Massachusetts. About 1827, he began creating more luxurious settings for his sitters; Mrs.
Wilkinson's rich surroundings reflect the new trend. It was recorded that Mrs. Wilkinson married the captain of a New York fire brigade, but, like her artist, her history remains elusive."
Major General Alexander Finley Whitaker,Man,No,No,,Man,"While the United States was not involved in any active military conflict during the 1830s, state militia regiments kept busy with drills, parades, and musters. The uniformed subject of this portrait proudly stands before what is likely an encampment of the New York State Militia, an annual occurrence for most state units.
The likeness of Major General Whitaker may have been painted by British-born John Bradley, an artist then working in New York.
Bradley advertised his skills as a portrait painter in New York
City directories from 1836 to 1847, but portraits like this one rendered from outside the city suggest he also traveled to gain commissions."
Eleazer Bullard,Man,No,No,,Man,"Eleazer Bullard (1787-1858) commissioned Erastus Salisbury
Field to paint these companion portraits of himself and his second wife about 1835. At the same time, Bullard had Field
paint portraits of his daughter from his
first marriage and son-in-law, Mrs. and Mr. Squire Brewer. All four paintings are the same size and carry identical frames so that they may hang as a group. The couples even share the same poses.
Field began painting in 1825 and by the 1830s had developed
an efficient style that allowed him to complete a half-length portrait in a day, for which he charged $4.00. His basic format could be modified to suit his clients. In this instance, Eleazer is portrayed leaning on a table with an inkwell and quill while Emily rests her arm on a table with a pincushion."
John H Pardee and Elbert A Pardee,Man,No,No,,Man,"An accident crippled Joseph Whiting Stock when he was eleven years old. Nevertheless, with encouragement and help from his family and his physician (who designed
a special wheelchair for him, he developed a successful career as a portraitist. He not only maintained a studio in Springfield, Massachusetts, but also traveled widely in New England and upstate New York, by coach and train. The subjects of this double portrait were the first children born to John Alling Pardee and his wife, Jeanette R. Hotchkiss.
The couple lived in New Haven, Connecticut, where John's occupation was reported variously as a ""joiner,"" ""master carpenter,"" and ""house joiner.""
In his journal, Stock recorded charging $20 for the boys' portrait and $10 apiece for individual likenesses of their parents. Stock's journal also noted that he stayed with the family for a week while he painted them."
Anna Webster Worthington Bull and her Daughter,Unknown,,No,,Both,None
